Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
433,Kevin Willis\willike02,PF,34,HOU,75,32,1964,350,728,0.481,2,14,0.143,348,714,0.487,0.482,140,202,0.693,146,415,561,71,42,32,119,216,842
434,David Wingate\wingada01,SG,33,SEA,65,2,929,89,214,0.416,25,71,0.352,64,143,0.448,0.474,33,40,0.825,23,51,74,80,44,5,37,108,236
435,Dontonio Wingfield\wingfdo01,SF,22,POR,47,0,569,79,193,0.409,26,77,0.338,53,116,0.457,0.477,27,40,0.675,63,74,137,45,14,6,49,101,211
436,Joe Wolf\wolfjo01,C,32,MIL,56,7,525,40,89,0.449,1,7,0.143,39,82,0.476,0.455,14,19,0.737,32,80,112,20,14,11,14,105,95
437,David Wood\woodda01,PF,32,MIL,46,0,240,20,38,0.526,5,15,0.333,15,23,0.652,0.592,12,18,0.667,5,22,27,13,7,6,6,36,57
438,Haywoode Workman\workmha01,PG,31,IND,4,2,81,11,20,0.55,0,3,0,11,17,0.647,0.55,0,1,0,4,3,7,11,3,0,5,10,22
439,Lorenzen Wright\wrighlo02,C,21,LAC,77,51,1936,236,491,0.481,1,4,0.25,235,487,0.483,0.482,88,150,0.587,206,265,471,49,48,60,79,211,561
440,Sharone Wright\wrighsh01,C,24,TOR,60,28,1009,161,403,0.4,0,1,0,161,402,0.4,0.4,68,133,0.511,79,107,186,28,15,50,93,146,390
441,George Zidek\zidekge01,C,23,TOT,52,2,376,49,118,0.415,0,2,0,49,116,0.422,0.415,45,57,0.789,35,51,86,14,5,3,27,61,143
441,George Zidek\zidekge01,C,23,CHH,36,2,288,33,85,0.388,0,2,0,33,83,0.398,0.388,25,32,0.781,25,38,63,9,4,3,23,44,91
441,George Zidek\zidekge01,C,23,DEN,16,0,88,16,33,0.485,0,0,,16,33,0.485,0.485,20,25,0.8,10,13,23,5,1,0,4,17,52
